rt	fw	dw
19.4	3.1285	1.4805
15.8	1.3572	0.6919
13.7	0.9748	0.4184
13.9	0.7162	0.3908
12.9	0.7623	0.3839
11.6	0.5021	0.2649
8.1	0.1712	0.0907
13	0.758	0.3921
17.3	1.821	0.9896
8.4	0.217	0.1086
9.8	0.3367	0.1721
14.8	1.1442	0.5748
16.2	1.7139	0.8819
16	1.5427	0.8129
15.8	1.2741	0.7159
13.9	0.6362	0.3485
13.6	0.7471	0.3978
13.4	0.745	0.39
14.8	1.1087	0.613
11.7	0.4456	0.2388
15.5	1.3875	0.6496
13.7	0.757	0.3801
13.9	0.9568	0.482
13.8	0.7676	0.394
5.8	0.0485	0.0285
7	0.086	0.0482
5	0.0312	0.0173
5	0.0303	0.0171
8.7	0.154	0.0885
7.8	0.1214	0.0702
6.7	0.0752	0.0463
13	0.6817	0.3348
19.3	2.191	1.1201
5	0.029	0.0154
7	0.0756	0.0412
5.8	0.0513	0.0301
5.4	0.0398	0.0244
6.1	0.08	0.044
5.2	0.033	0.0197
5	0.0416	0.0209
6.1	0.0562	0.0344
5.2	0.0308	0.0177
7.9	0.1659	0.0937
5	0.0341	0.0173
17.4	1.5053	0.788
18.5	1.7693	0.9726
20	2.1596	1.1347
17.6	1.3765	0.7349
18.4	1.9577	1.09
9.2	0.1891	0.1071
20.3	3.4041	1.4789
19	3.4643	1.3273
21.6	4.4405	2.1013
11.7	0.422	0.2256
13.1	0.7693	0.4009
14.2	0.6993	0.3738
22.4	4.4046	1.9976
16.9	2.5225	1.1029
21.9	4.5892	1.7399
23.8	5.0239	2.2617
23.9	4.99	2.2862
14	0.7345	0.3587
10	0.2203	0.1196
12.3	0.467	0.2727
8.6	0.1246	0.0695
14.3	0.9205	0.4581
21.2	2.6931	1.3337
17.4	1.7949	0.8111
8.3	0.1463	0.0862
6.2	0.0729	0.0391
20.6	3.1688	1.5729
14.8	0.9618	0.5018
13.9	0.7854	0.3845
19.6	2.5534	1.258
12.1	0.4614	0.2481
17.7	1.5425	0.8419
20	2.7	1.2854
10.8	0.3227	0.1824
19.4	2.4117	1.1392
27.4	6.6361	2.9839
14.9	1.1378	0.5278
22.3	3.4263	1.7037
19.4	2.4372	1.2545
14.8	0.9945	0.487
13.2	0.6204	0.3122
18	2.0329	1.1021
22.3	3.2953	1.5331
10.8	0.3687	0.1504
10.8	0.3048	0.1328
10.1	0.2899	0.1353
11.3	0.4259	0.1798
7.8	0.1968	0.0779
8.7	0.1915	0.0984
14.2	1.0965	0.5241
9.4	0.2677	0.1254
8.3	0.206	0.1056
9.6	0.2321	0.1155
13.2	0.7413	0.3432
8.6	0.1443	0.0762
7.7	0.1672	0.0843
6.2	0.1112	0.0485
8.3	0.1845	0.0841
8.4	0.1869	0.0915
7.1	0.1168	0.0484
5.4	0.0609	0.0263
10.4	0.4053	0.2127
9.8	0.3199	0.1553
16.1	1.7014	0.7645
5.1	0.0541	0.0201
8.5	0.1971	0.0944
6.4	0.1377	0.0503
5.6	0.0605	0.0273
5.5	0.0474	0.0229
17.7	1.9984	0.9067
13.9	0.7823	0.3948
7.3	0.14	0.0521
8	0.165	0.068
10.8	0.4624	0.2191
6.8	0.1249	0.0495
7.5	0.1242	0.0632
12.7	0.8643	0.343
11.4	0.4665	0.2323
11.1	0.4763	0.2274
9.8	0.3497	0.138
9	0.2588	0.122
10.8	0.4624	0.2165
9.8	0.2668	0.1328
6.9	0.0984	0.0443
17.6	1.7947	0.8568
20.6	2.7221	1.3733
13.1	0.7072	0.3113
17.8	2.2222	1.0082
14.3	1.6361	0.6217
21.2	4.1395	1.7881
23.5	4.2077	2.0864
7	0.1034	0.0538
19.7	2.6157	1.1668
22.4	3.9654	1.881
20.6	3.7551	1.5355
23.4	6.102	2.5951
7.2	0.139	0.0677
9.3	0.081	0.0308
7.3	0.1255	0.0524
23.2	3.9128	1.8902
22.3	3.5987	1.7819
20.6	2.5184	1.3301
8.4	0.2283	0.0983
8.1	0.1979	0.1048
9.9	0.2804	0.1492
17.1	1.409	0.7853
20.4	3.1803	1.4644
16.4	1.4648	0.7641
15.3	1.0739	0.4963
13.8	1.0601	0.5496
15.1	1.7974	0.5686
9.3	0.256	0.1153
20.5	2.85	1.4383
10.1	0.3717	0.2101
7	0.1422	0.0747
17.9	1.9765	0.9445
8	0.1697	0.0725
5.7	0.0605	0.0357
5.2	0.053	0.0257
5.8	0.0731	0.0357
11.8	0.5687	0.3183
20.8	2.8569	1.5676
16.9	1.5589	0.8539
12	0.5555	0.3039
21.5	3.3666	1.6006
16.2	1.955	0.8591
22	3.5129	1.661
19.8	2.5573	1.2195
19.3	2.2848	1.0611
21.5	2.9442	1.5661
24.4	4.4633	1.9452
21	2.6262	1.1829
16.3	1.3052	0.6571
16.8	1.2	0.6591
20.2	2.7027	1.3407
