F         RC        PS
         2       4.6     0.030
         1       4.6     0.030
         1       4.6     0.030
         2       4.6     0.030
         2       4.6     0.030
         1       4.6     0.030
         1       4.6     0.030
         2       4.6     0.030
         2       4.6     0.040
         2       4.6     0.040
         2       4.6     0.040
         1       4.6     0.070
         1       4.7     0.020
         2       4.7     0.020
         2       4.7     0.020
         2       4.7     0.020
         2       4.7     0.020
         1       4.7     0.020
         1       4.7     0.020
         1       4.7     0.020
         1       4.7     0.020
         2       4.7     0.020
         2       4.7     0.020
         1       4.7     0.020
         1       4.7     0.020
         1       4.7     0.020
         2       4.7     0.020
         1       4.7     0.020
         1       4.7     0.020
         1       4.7     0.020
         1       4.7     0.020
         1       4.7     0.020
         2       4.7     0.020
         1       4.7     0.020
         1       4.7     0.020
         1       4.7     0.020
         2       4.7     0.020
         2       4.7     0.020
         1       4.7     0.030
         1       4.7     0.030
         1       4.7     0.030
         1       4.7     0.030
         2       4.7     0.030
         2       4.7     0.030
         2       4.7     0.030
         2       4.7     0.030
         2       4.7     0.030
         2       4.7     0.030
         2       4.7     0.030
         1       4.7     0.030
         1       4.7     0.030
         1       4.7     0.030
         1       4.7     0.030
         1       4.7     0.030
         2       4.7     0.030
         2       4.7     0.030
         2       4.7     0.030
         2       4.7     0.030
         1       4.7     0.030
         1       4.7     0.030
         2       4.7     0.030
         2       4.7     0.030
         1       4.7     0.030
         2       4.7     0.030
         2       4.7     0.030
         2       4.7     0.030
         2       4.7     0.030
         1       4.7     0.040
         1       4.7     0.040
         1       4.7     0.040
         1       4.7     0.040
         1       4.7     0.050
         1       4.7     0.050
         2       4.7     0.050
         1       4.8     0.020
         2       4.8     0.020
         1       4.8     0.020
         1       4.8     0.020
         1       4.8     0.020
         1       4.8     0.020
         1       4.8     0.020
         1       4.8     0.020
         1       4.8     0.020
         1       4.8     0.020
         1       4.8     0.020
         1       4.8     0.020
         2       4.8     0.020
         1       4.8     0.020
         1       4.8     0.020
         1       4.8     0.020
         1       4.8     0.020
         2       4.8     0.020
         2       4.8     0.020
         2       4.8     0.020
         1       4.8     0.020
         1       4.8     0.020
         1       4.8     0.020
         1       4.8     0.020
         1       4.8     0.030
         1       4.8     0.030
         1       4.8     0.030
         1       4.8     0.030
         2       4.8     0.030
         2       4.8     0.030
         2       4.8     0.030
         2       4.8     0.030
         1       4.8     0.030
         1       4.8     0.030
         2       4.8     0.030
         1       4.8     0.030
         2       4.8     0.030
         1       4.8     0.030
         1       4.8     0.030
         1       4.8     0.030
         1       4.8     0.030
         2       4.8     0.030
         2       4.8     0.030
         2       4.8     0.030
