              f               x               p             lip             lsp             bip             bsp              p1            lip1            lsp1            bip1            bsp1              p2            lip2            lsp2            bip2            bsp2
      1.0000000      24.6313131       3.0422261       3.0084242       3.0829183       2.9975760       3.0868762       0.3554873       0.3502202       0.3620645       0.3480327       0.3629420       0.0271067       0.0265021       0.0278175       0.0262679       0.0279456
      1.0000000      24.8656566       3.1262786       3.0912291       3.1685703       3.0798729       3.1726843       0.3618662       0.3564604       0.3686110       0.3542147       0.3695176       0.0273331       0.0267193       0.0280536       0.0264824       0.0281838
      1.0000000      25.1000000       3.2118322       3.1755042       3.2557649       3.1636243       3.2600401       0.3682980       0.3627516       0.3752128       0.3604469       0.3761491       0.0275592       0.0269363       0.0282894       0.0266966       0.0284218
      2.0000000       1.9000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000
      2.0000000       2.1343434      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000
      2.0000000       2.3686869      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000      -1.0000000
      2.0000000       2.6030303       0.0049229       0.0048199       0.0050667       0.0047810       0.0050647       0.0054046       0.0053191       0.0055264       0.0052837       0.0055254       0.0038571       0.0038234       0.0039047       0.0038083       0.0039059
      2.0000000       2.8373737       0.0062980       0.0061741       0.0064717       0.0061266       0.0064695       0.0063432       0.0062510       0.0064758       0.0062114       0.0064750       0.0041531       0.0041214       0.0041976       0.0041066       0.0041996
      2.0000000       3.0717172       0.0079012       0.0077550       0.0081072       0.0076977       0.0081047       0.0073508       0.0072522       0.0074935       0.0072086       0.0074929       0.0044456       0.0044162       0.0044875       0.0044017       0.0044895
      2.0000000       3.3060606       0.0097486       0.0095787       0.0099891       0.0095107       0.0099865       0.0084265       0.0083214       0.0085784       0.0082748       0.0085783       0.0047350       0.0047065       0.0047743       0.0046938       0.0047761
      2.0000000       3.5404040       0.0118559       0.0116612       0.0121330       0.0115815       0.0121303       0.0095698       0.0094586       0.0097299       0.0094092       0.0097303       0.0050214       0.0049940       0.0050578       0.0049830       0.0050599
      2.0000000       3.7747475       0.0142390       0.0140186       0.0145545       0.0139262       0.0145519       0.0107798       0.0106633       0.0109471       0.0106113       0.0109483       0.0053052       0.0052789       0.0053391       0.0052694       0.0053411
      2.0000000       4.0090909       0.0169135       0.0166667       0.0172689       0.0165605       0.0172664       0.0120561       0.0119349       0.0122295       0.0118805       0.0122316       0.0055865       0.0055600       0.0056164       0.0055529       0.0056201
      2.0000000       4.2434343       0.0198947       0.0196211       0.0202913       0.0195000       0.0202893       0.0133980       0.0132730       0.0135764       0.0132162       0.0135797       0.0058654       0.0058388       0.0058946       0.0058336       0.0058973
      2.0000000       4.4777778       0.0231980       0.0228950       0.0236369       0.0227605       0.0236355       0.0148050       0.0146769       0.0149872       0.0146180       0.0149919       0.0061422       0.0061155       0.0061707       0.0061114       0.0061730
      2.0000000       4.7121212       0.0268386       0.0265054       0.0273206       0.0263572       0.0273200       0.0162766       0.0161463       0.0164614       0.0160853       0.0164678       0.0064169       0.0063902       0.0064447       0.0063862       0.0064477
      2.0000000       4.9464646       0.0308316       0.0304677       0.0313571       0.0303055       0.0313577       0.0178123       0.0176807       0.0179983       0.0176177       0.0180070       0.0066897       0.0066630       0.0067172       0.0066579       0.0067214
      2.0000000       5.1808081       0.0351920       0.0347971       0.0357610       0.0346207       0.0357633       0.0194118       0.0192798       0.0195998       0.0192147       0.0196089       0.0069606       0.0069338       0.0069869       0.0069268       0.0069945
      2.0000000       5.4151515       0.0399346       0.0395089       0.0405471       0.0393178       0.0405514       0.0210745       0.0209404       0.0212646       0.0208757       0.0212734       0.0072298       0.0071987       0.0072580       0.0071929       0.0072667
      2.0000000       5.6494949       0.0450743       0.0446179       0.0457296       0.0444120       0.0457366       0.0228002       0.0226627       0.0229912       0.0226005       0.0229999       0.0074974       0.0074618       0.0075292       0.0074565       0.0075382
      2.0000000       5.8838384       0.0506256       0.0501391       0.0513230       0.0499181       0.0513332       0.0245883       0.0244481       0.0247788       0.0243884       0.0247883       0.0077633       0.0077228       0.0077993       0.0077179       0.0078088
      2.0000000       6.1181818       0.0566034       0.0560873       0.0573415       0.0558509       0.0573558       0.0264386       0.0262961       0.0266276       0.0262389       0.0266384       0.0080278       0.0079817       0.0080681       0.0079772       0.0080784
