         f          x          y
    1.0000     3.9000     0.0100
    1.0000     3.9000     0.0100
    1.0000     3.9000     0.0100
    2.0000     3.9000     0.0100
    2.0000     3.9000     0.0100
    1.0000     3.9000     0.0100
    1.0000     3.9000     0.0100
    1.0000     3.9000     0.0100
    1.0000     3.9000     0.0100
    1.0000     3.9000     0.0100
    1.0000     3.9000     0.0100
    1.0000     3.9000     0.0100
    1.0000     3.9000     0.0100
    2.0000     3.9000     0.0100
    1.0000     3.9000     0.0100
    1.0000     3.9000     0.0200
    1.0000     3.9000     0.0200
    1.0000     3.9000     0.0200
    2.0000     3.9000     0.0200
    2.0000     3.9000     0.0200
    1.0000     3.9000     0.0200
    1.0000     3.9000     0.0200
    1.0000     3.9000     0.0200
    1.0000     3.9000     0.0200
    2.0000     3.9000     0.0200
    2.0000     3.9000     0.0200
    1.0000     3.9000     0.0200
    2.0000     3.9000     0.0200
    2.0000     3.9000     0.0200
    2.0000     3.9000     0.0200
    2.0000     3.9000     0.0300
    2.0000     3.9000     0.0400
    1.0000     4.0000     0.0100
    1.0000     4.0000     0.0100
    1.0000     4.0000     0.0100
    2.0000     4.0000     0.0100
    2.0000     4.0000     0.0100
    1.0000     4.0000     0.0100
    1.0000     4.0000     0.0100
    1.0000     4.0000     0.0100
    1.0000     4.0000     0.0100
    2.0000     4.0000     0.0100
    2.0000     4.0000     0.0100
    2.0000     4.0000     0.0100
    1.0000     4.0000     0.0100
    1.0000     4.0000     0.0100
    1.0000     4.0000     0.0100
    1.0000     4.0000     0.0100
    2.0000     4.0000     0.0100
    2.0000     4.0000     0.0100
    2.0000     4.0000     0.0100
    1.0000     4.0000     0.0200
    2.0000     4.0000     0.0200
    2.0000     4.0000     0.0200
    2.0000     4.0000     0.0200
    2.0000     4.0000     0.0200
    2.0000     4.0000     0.0200
    2.0000     4.0000     0.0200
    2.0000     4.0000     0.0200
    1.0000     4.0000     0.0200
    2.0000     4.0000     0.0200
    1.0000     4.0000     0.0200
    2.0000     4.0000     0.0200
    2.0000     4.0000     0.0200
    1.0000     4.0000     0.0200
    2.0000     4.0000     0.0200
    2.0000     4.0000     0.0200
    2.0000     4.0000     0.0200
    2.0000     4.0000     0.0200
    1.0000     4.0000     0.0200
    1.0000     4.0000     0.0200
    2.0000     4.0000     0.0200
    2.0000     4.0000     0.0300
    1.0000     4.0000     0.0300
    1.0000     4.1000     0.0100
    2.0000     4.1000     0.0100
    1.0000     4.1000     0.0100
    2.0000     4.1000     0.0100
    1.0000     4.1000     0.0100
    1.0000     4.1000     0.0100
    1.0000     4.1000     0.0100
    2.0000     4.1000     0.0100
    2.0000     4.1000     0.0100
    1.0000     4.1000     0.0200
    1.0000     4.1000     0.0200
    1.0000     4.1000     0.0200
    1.0000     4.1000     0.0200
    2.0000     4.1000     0.0200
    2.0000     4.1000     0.0200
    1.0000     4.1000     0.0200
    1.0000     4.1000     0.0200
    1.0000     4.1000     0.0200
    2.0000     4.1000     0.0200
    2.0000     4.1000     0.0200
    1.0000     4.1000     0.0200
    1.0000     4.1000     0.0200
    2.0000     4.1000     0.0200
    2.0000     4.1000     0.0200
    1.0000     4.1000     0.0200
    1.0000     4.1000     0.0200
    1.0000     4.1000     0.0200
    2.0000     4.1000     0.0300
    1.0000     4.1000     0.0300
    1.0000     4.2000     0.0100
    1.0000     4.2000     0.0100
    1.0000     4.2000     0.0100
    2.0000     4.2000     0.0100
    1.0000     4.2000     0.0100
    2.0000     4.2000     0.0100
    1.0000     4.2000     0.0100
    2.0000     4.2000     0.0100
    1.0000     4.2000     0.0100
    1.0000     4.2000     0.0200
    1.0000     4.2000     0.0200
    2.0000     4.2000     0.0200
    2.0000     4.2000     0.0200
    2.0000     4.2000     0.0200
    2.0000     4.2000     0.0200
    2.0000     4.2000     0.0200
    2.0000     4.2000     0.0200
    1.0000     4.2000     0.0200
    2.0000     4.2000     0.0200
    2.0000     4.2000     0.0200
    2.0000     4.2000     0.0200
    1.0000     4.2000     0.0200
    1.0000     4.2000     0.0200
    1.0000     4.2000     0.0200
    1.0000     4.2000     0.0200
    2.0000     4.2000     0.0200
    2.0000     4.2000     0.0200
    2.0000     4.2000     0.0200
    2.0000     4.2000     0.0200
    1.0000     4.2000     0.0200
    1.0000     4.2000     0.0200
    1.0000     4.2000     0.0200
    1.0000     4.2000     0.0200
    1.0000     4.2000     0.0200
    2.0000     4.2000     0.0200
    2.0000     4.2000     0.0200
    2.0000     4.2000     0.0200
    2.0000     4.2000     0.0200
    1.0000     4.2000     0.0200
    2.0000     4.2000     0.0200
    2.0000     4.2000     0.0200
    1.0000     4.2000     0.0300
    1.0000     4.2000     0.0300
    2.0000     4.2000     0.0300
    2.0000     4.2000     0.0300
    1.0000     4.2000     0.0400
    2.0000     4.2000     0.0500
    1.0000     4.3000     0.0100
    2.0000     4.3000     0.0100
    2.0000     4.3000     0.0100
    1.0000     4.3000     0.0100
    1.0000     4.3000     0.0100
    1.0000     4.3000     0.0100
    1.0000     4.3000     0.0100
    1.0000     4.3000     0.0100
    1.0000     4.3000     0.0200
    1.0000     4.3000     0.0200
    2.0000     4.3000     0.0200
    2.0000     4.3000     0.0200
    2.0000     4.3000     0.0200
    2.0000     4.3000     0.0200
    2.0000     4.3000     0.0200
    2.0000     4.3000     0.0200
    2.0000     4.3000     0.0200
    1.0000     4.3000     0.0200
    1.0000     4.3000     0.0200
    1.0000     4.3000     0.0200
    1.0000     4.3000     0.0200
    1.0000     4.3000     0.0200
    1.0000     4.3000     0.0200
    2.0000     4.3000     0.0200
    2.0000     4.3000     0.0200
    1.0000     4.3000     0.0200
    1.0000     4.3000     0.0200
    1.0000     4.3000     0.0200
    1.0000     4.3000     0.0200
    1.0000     4.3000     0.0200
    2.0000     4.3000     0.0200
    2.0000     4.3000     0.0200
    1.0000     4.3000     0.0200
    1.0000     4.3000     0.0200
    1.0000     4.3000     0.0200
    1.0000     4.3000     0.0200
    1.0000     4.3000     0.0200
    1.0000     4.3000     0.0200
    1.0000     4.3000     0.0300
    2.0000     4.3000     0.0300
    2.0000     4.3000     0.0300
    2.0000     4.3000     0.0300
    2.0000     4.3000     0.0300
    2.0000     4.3000     0.0300
    1.0000     4.3000     0.0300
    2.0000     4.3000     0.0400
    2.0000     4.3000     0.0400
    2.0000     4.4000     0.0100
    1.0000     4.4000     0.0100
    1.0000     4.4000     0.0100
    1.0000     4.4000     0.0200
    1.0000     4.4000     0.0200
    1.0000     4.4000     0.0200
    1.0000     4.4000     0.0200
    1.0000     4.4000     0.0200
    1.0000     4.4000     0.0200
    1.0000     4.4000     0.0200
    1.0000     4.4000     0.0200
    2.0000     4.4000     0.0200
    2.0000     4.4000     0.0200
    2.0000     4.4000     0.0200
    2.0000     4.4000     0.0200
    2.0000     4.4000     0.0200
    2.0000     4.4000     0.0200
    1.0000     4.4000     0.0200
    1.0000     4.4000     0.0200
    2.0000     4.4000     0.0200
    2.0000     4.4000     0.0200
    2.0000     4.4000     0.0200
    2.0000     4.4000     0.0200
    1.0000     4.4000     0.0200
    1.0000     4.4000     0.0200
    1.0000     4.4000     0.0200
    1.0000     4.4000     0.0200
    1.0000     4.4000     0.0200
    1.0000     4.4000     0.0200
    2.0000     4.4000     0.0200
    2.0000     4.4000     0.0200
    1.0000     4.4000     0.0200
    1.0000     4.4000     0.0200
    1.0000     4.4000     0.0200
    1.0000     4.4000     0.0200
    1.0000     4.4000     0.0200
    1.0000     4.4000     0.0200
    2.0000     4.4000     0.0200
    1.0000     4.4000     0.0200
    1.0000     4.4000     0.0200
    2.0000     4.4000     0.0200
    1.0000     4.4000     0.0300
    1.0000     4.4000     0.0300
    2.0000     4.4000     0.0300
    1.0000     4.4000     0.0300
    1.0000     4.4000     0.0300
    2.0000     4.4000     0.0300
    2.0000     4.4000     0.0300
    2.0000     4.4000     0.0300
    1.0000     4.4000     0.0300
    2.0000     4.4000     0.0300
    2.0000     4.4000     0.0300
    1.0000     4.5000     0.0100
    2.0000     4.5000     0.0100
    1.0000     4.5000     0.0100
    1.0000     4.5000     0.0200
    1.0000     4.5000     0.0200
    1.0000     4.5000     0.0200
    1.0000     4.5000     0.0200
    2.0000     4.5000     0.0200
    2.0000     4.5000     0.0200
    2.0000     4.5000     0.0200
    2.0000     4.5000     0.0200
    2.0000     4.5000     0.0200
    2.0000     4.5000     0.0200
    2.0000     4.5000     0.0200
    1.0000     4.5000     0.0200
    1.0000     4.5000     0.0200
    1.0000     4.5000     0.0200
    1.0000     4.5000     0.0200
    1.0000     4.5000     0.0200
    1.0000     4.5000     0.0200
    1.0000     4.5000     0.0200
    1.0000     4.5000     0.0200
    2.0000     4.5000     0.0200
    2.0000     4.5000     0.0200
    2.0000     4.5000     0.0200
    2.0000     4.5000     0.0200
    1.0000     4.5000     0.0200
    1.0000     4.5000     0.0200
    1.0000     4.5000     0.0200
    1.0000     4.5000     0.0200
    1.0000     4.5000     0.0200
    1.0000     4.5000     0.0200
    1.0000     4.5000     0.0200
    1.0000     4.5000     0.0200
    2.0000     4.5000     0.0200
    2.0000     4.5000     0.0200
    2.0000     4.5000     0.0200
    2.0000     4.5000     0.0200
    2.0000     4.5000     0.0200
    1.0000     4.5000     0.0200
    1.0000     4.5000     0.0200
    1.0000     4.5000     0.0200
    1.0000     4.5000     0.0200
    2.0000     4.5000     0.0200
    2.0000     4.5000     0.0200
    2.0000     4.5000     0.0200
    2.0000     4.5000     0.0200
    2.0000     4.5000     0.0200
    1.0000     4.5000     0.0200
    1.0000     4.5000     0.0300
    1.0000     4.5000     0.0300
    1.0000     4.5000     0.0300
    1.0000     4.5000     0.0300
    2.0000     4.5000     0.0300
    1.0000     4.5000     0.0300
    2.0000     4.5000     0.0300
    2.0000     4.5000     0.0300
    2.0000     4.5000     0.0300
    1.0000     4.5000     0.0300
    1.0000     4.5000     0.0300
    1.0000     4.5000     0.0300
    1.0000     4.5000     0.0300
    2.0000     4.5000     0.0300
    2.0000     4.5000     0.0300
    1.0000     4.5000     0.0400
    1.0000     4.5000     0.0400
    1.0000     4.5000     0.0400
    2.0000     4.6000     0.0100
    1.0000     4.6000     0.0200
    1.0000     4.6000     0.0200
    1.0000     4.6000     0.0200
    1.0000     4.6000     0.0200
    2.0000     4.6000     0.0200
    2.0000     4.6000     0.0200
    2.0000     4.6000     0.0200
    2.0000     4.6000     0.0200
    1.0000     4.6000     0.0200
    1.0000     4.6000     0.0200
    1.0000     4.6000     0.0200
    1.0000     4.6000     0.0200
    1.0000     4.6000     0.0200
    2.0000     4.6000     0.0200
    2.0000     4.6000     0.0200
    2.0000     4.6000     0.0200
    1.0000     4.6000     0.0200
    1.0000     4.6000     0.0200
    2.0000     4.6000     0.0200
    2.0000     4.6000     0.0200
    2.0000     4.6000     0.0200
    1.0000     4.6000     0.0200
    1.0000     4.6000     0.0200
    1.0000     4.6000     0.0200
    1.0000     4.6000     0.0200
    1.0000     4.6000     0.0200
    1.0000     4.6000     0.0200
    1.0000     4.6000     0.0200
    2.0000     4.6000     0.0200
    2.0000     4.6000     0.0200
    2.0000     4.6000     0.0200
    2.0000     4.6000     0.0200
    2.0000     4.6000     0.0200
    2.0000     4.6000     0.0200
    2.0000     4.6000     0.0200
    1.0000     4.6000     0.0200
    2.0000     4.6000     0.0200
    1.0000     4.6000     0.0300
    2.0000     4.6000     0.0300
    2.0000     4.6000     0.0300
    2.0000     4.6000     0.0300
    1.0000     4.6000     0.0300
    1.0000     4.6000     0.0300
    1.0000     4.6000     0.0300
    2.0000     4.6000     0.0300
    1.0000     4.6000     0.0300
    1.0000     4.6000     0.0300
    2.0000     4.6000     0.0300
    2.0000     4.6000     0.0300
    1.0000     4.6000     0.0300
    1.0000     4.6000     0.0300
    2.0000     4.6000     0.0300
    2.0000     4.6000     0.0400
    2.0000     4.6000     0.0400
    2.0000     4.6000     0.0400
    1.0000     4.6000     0.0700
    1.0000     4.7000     0.0200
    2.0000     4.7000     0.0200
    2.0000     4.7000     0.0200
    2.0000     4.7000     0.0200
    2.0000     4.7000     0.0200
    1.0000     4.7000     0.0200
    1.0000     4.7000     0.0200
    1.0000     4.7000     0.0200
    1.0000     4.7000     0.0200
    2.0000     4.7000     0.0200
    2.0000     4.7000     0.0200
    1.0000     4.7000     0.0200
    1.0000     4.7000     0.0200
    1.0000     4.7000     0.0200
    2.0000     4.7000     0.0200
    1.0000     4.7000     0.0200
    1.0000     4.7000     0.0200
    1.0000     4.7000     0.0200
    1.0000     4.7000     0.0200
    1.0000     4.7000     0.0200
    2.0000     4.7000     0.0200
    1.0000     4.7000     0.0200
    1.0000     4.7000     0.0200
    1.0000     4.7000     0.0200
    2.0000     4.7000     0.0200
    2.0000     4.7000     0.0200
    1.0000     4.7000     0.0300
    1.0000     4.7000     0.0300
    1.0000     4.7000     0.0300
    1.0000     4.7000     0.0300
    2.0000     4.7000     0.0300
    2.0000     4.7000     0.0300
    2.0000     4.7000     0.0300
    2.0000     4.7000     0.0300
    2.0000     4.7000     0.0300
    2.0000     4.7000     0.0300
    2.0000     4.7000     0.0300
    1.0000     4.7000     0.0300
    1.0000     4.7000     0.0300
    1.0000     4.7000     0.0300
    1.0000     4.7000     0.0300
    1.0000     4.7000     0.0300
    2.0000     4.7000     0.0300
    2.0000     4.7000     0.0300
    2.0000     4.7000     0.0300
    2.0000     4.7000     0.0300
    1.0000     4.7000     0.0300
    1.0000     4.7000     0.0300
    2.0000     4.7000     0.0300
    2.0000     4.7000     0.0300
    1.0000     4.7000     0.0300
    2.0000     4.7000     0.0300
